match_id,date,understat_date,date_difference_days,season,league,home_team,away_team,game_id,home_xg,away_xg,total_xg,xg_diff_home,home_np_xg,away_np_xg,total_np_xg,np_xg_diff_home,home_expected_points,away_expected_points,expected_points_diff_home,home_ppda,away_ppda,home_deep_completions,away_deep_completions
E0_20150912_WestBrom_Southampton,2015-09-12,2015-09-12,0,1516,Premier League,West Brom,Southampton,125,0.409143,1.00731,1.416453,-0.5981669999999999,0.409143,1.00731,1.416453,-0.5981669999999999,0.7587999999999999,1.8985,-1.1397,20.41176470588235,8.555555555555555,5,7
D1_20150913_Hoffenheim_WerderBremen,2015-09-13,2015-09-13,0,1516,Bundesliga,Hoffenheim,Werder Bremen,1055,0.694948,2.2128,2.907748,-1.517852,0.694948,2.2128,2.907748,-1.517852,0.3385,2.5054,-2.1669,4.965517241379311,9.142857142857142,4,8
D1_20150913_Schalke04_Mainz,2015-09-13,2015-09-13,0,1516,Bundesliga,Schalke 04,Mainz,1056,3.13941,2.94627,6.08568,0.1931399999999996,2.38163,2.94627,5.3279,-0.5646400000000003,1.5052,1.2847,0.2204999999999999,3.684210526315789,9.551724137931034,9,8
E0_20150913_Leicester_AstonVilla,2015-09-13,2015-09-13,0,1516,Premier League,Leicester,Aston Villa,129,1.34987,0.953181,2.303051,0.3966889999999999,1.34987,0.953181,2.303051,0.3966889999999999,1.6654,1.0342,0.6312,7.151515151515151,8.409090909090908,11,5
E0_20150913_Sunderland_Tottenham,2015-09-13,2015-09-13,0,1516,Premier League,Sunderland,Tottenham,128,1.0407,1.45615,2.49685,-0.4154500000000001,1.0407,1.45615,2.49685,-0.4154500000000001,1.0179,1.6845,-0.6665999999999999,12.055555555555555,5.172413793103448,4,12
E0_20150914_WestHam_Newcastle,2015-09-14,2015-09-14,0,1516,Premier League,West Ham,Newcastle,130,1.71282,0.716599,2.429419,0.996221,1.71282,0.716599,2.429419,0.996221,2.1995,0.5675,1.632,11.72,8.222222222222221,4,4
D1_20150918_Mainz_Hoffenheim,2015-09-18,2015-09-18,0,1516,Bundesliga,Mainz,Hoffenheim,1057,1.27625,1.01304,2.2892900000000003,0.2632100000000001,1.27625,1.01304,2.2892900000000003,0.2632100000000001,1.5626,1.1189,0.4437,7.65,8.964285714285714,10,4
D1_20150919_Darmstadt_BayernMunich,2015-09-19,2015-09-19,0,1516,Bundesliga,Darmstadt,Bayern Munich,1058,0.204756,1.71752,1.922276,-1.512764,0.204756,1.71752,1.922276,-1.512764,0.2011,2.6632,-2.4621,50.11111111111112,4.388888888888889,4,12
D1_20150919_FCKoln_Mgladbach,2015-09-19,2015-09-19,0,1516,Bundesliga,FC Koln,M'gladbach,1062,0.541995,0.4042,0.946195,0.137795,0.541995,0.4042,0.946195,0.137795,1.42,1.1161,0.3039,15.714285714285714,8.6875,4,4
D1_20150919_Hamburg_EinFrankfurt,2015-09-19,2015-09-19,0,1516,Bundesliga,Hamburg,Ein Frankfurt,1060,0.909692,0.221397,1.131089,0.6882949999999999,0.909692,0.221397,1.131089,0.6882949999999999,2.078,0.5693,1.5086999999999997,8.185185185185185,10.041666666666666,3,3
D1_20150919_WerderBremen_Ingolstadt,2015-09-19,2015-09-19,0,1516,Bundesliga,Werder Bremen,Ingolstadt,1061,1.22829,1.47429,2.70258,-0.246,1.22829,0.716516,1.9448060000000005,0.5117740000000001,1.0944,1.5915,-0.4971000000000001,4.2727272727272725,4.571428571428571,8,3
D1_20150919_Wolfsburg_Hertha,2015-09-19,2015-09-19,0,1516,Bundesliga,Wolfsburg,Hertha,1059,2.42975,0.271584,2.701334,2.158166,1.67197,0.271584,1.943554,1.400386,2.8316,0.1052,2.7264,12.857142857142858,14.9,7,9
E0_20150919_AstonVilla_WestBrom,2015-09-19,2015-09-19,0,1516,Premier League,Aston Villa,West Brom,133,0.876719,0.632761,1.50948,0.243958,0.876719,0.632761,1.50948,0.243958,1.5584,1.0709,0.4875,6.12,8.413793103448276,5,2
E0_20150919_Bournemouth_Sunderland,2015-09-19,2015-09-19,0,1516,Premier League,Bournemouth,Sunderland,134,0.644335,0.854867,1.499202,-0.210532,0.644335,0.854867,1.499202,-0.210532,1.0754,1.5617,-0.4863000000000002,8.518518518518519,9.26923076923077,7,2
